plasmid_id,h2o_volume,buffer,pCDE067__10x__,pCDE068__10x__,pCDE069__10x__,pMYT015__10x__,pMYT018__10x__,pUPR066__10x__,pYSD002__10x__,pYSD004__10x__,pYSD005__10x__,pYSD007__10x__,pYSD008__10x__,pYSD009__10x__,pYSD080__10x__,pYSD081__10x__,pYSD082__10x__,pYSD083__10x__,pYSD084__10x__,pYTK002__10x__,pYTK003__10x__,pYTK004__10x__,pYTK005__10x__,pYTK006__10x__,pYTK007__10x__,pYTK010__10x__,pYTK025__10x__,pYTK033__10x__,pYTK053__10x__,pYTK054__10x__,pYTK055__10x__,pYTK066__10x__,pYTK067__10x__,pYTK068__10x__,pYTK069__10x__,pYTK070__10x__,pYTK071__10x__,pYTK072__10x__,pYTK095__10x__,pCDE067,pCDE068,pCDE069,pMYT015,pMYT018,pUPR066,pYSD002,pYSD004,pYSD005,pYSD007,pYSD008,pYSD009,pYSD080,pYSD081,pYSD082,pYSD083,pYSD084,pYTK002,pYTK003,pYTK004,pYTK005,pYTK006,pYTK007,pYTK010,pYTK025,pYTK033,pYTK053,pYTK054,pYTK055,pYTK066,pYTK067,pYTK068,pYTK069,pYTK070,pYTK071,pYTK072,pYTK095
pCDE067__10x__,23.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCDE068__10x__,19.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCDE069__10x__,24.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pMYT015__10x__,69.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pMYT018__10x__,5.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pUPR066__10x__,6.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD002__10x__,16.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD004__10x__,16.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD005__10x__,16.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD007__10x__,16.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD008__10x__,16.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD009__10x__,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
pYSD080__10x__,3.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
pYSD081__10x__,21.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
pYSD082__10x__,21.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
pYSD083__10x__,19.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
pYSD084__10x__,17.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
pYTK002__10x__,23.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
pYTK003__10x__,23.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
pYTK004__10x__,23.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
pYTK005__10x__,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
pYTK006__10x__,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
pYTK007__10x__,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
pYTK010__10x__,5.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
pYTK025__10x__,5.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
pYTK033__10x__,5.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
pYTK053__10x__,7.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
pYTK054__10x__,7.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
pYTK055__10x__,7.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
pYTK066__10x__,68.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,
pYTK067__10x__,23.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
pYTK068__10x__,23.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
pYTK069__10x__,23.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
pYTK070__10x__,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
pYTK071__10x__,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
pYTK072__10x__,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
pYTK095__10x__,68.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
pIB001,0.0,2.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB002,0.0,2.0,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB003,0.0,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB004,0.0,2.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB005,0.0,2.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB006,0.0,2.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB007,0.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB008,0.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB009,0.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB010,0.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB011,0.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB012,0.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB013,0.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB014,0.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB015,0.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB016,0.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB017,0.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB018,0.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB019,0.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB020,0.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB021,0.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB022,0.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB023,0.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB024,0.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB025,0.0,2.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB026,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB027,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB028,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB029,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB030,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB031,0.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB032,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB033,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB034,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB035,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB036,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB037,0.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB038,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB039,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB040,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB041,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB042,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB043,0.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB044,0.0,2.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB045,0.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB046,0.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB047,0.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB048,0.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB049,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB050,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB051,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB052,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB053,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB054,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB055,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB056,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB057,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB058,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB059,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB060,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB061,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB062,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB063,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB064,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB065,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB066,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB067,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB068,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB069,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB070,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB071,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB072,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB073,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB074,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB075,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
